proteinID	geneID	uniprot	protein_name	gene_name
CPLX-2282			CYP83B1 monooxygenase	
CPLX8J2-88			enoyl-[acyl carrier protein] reductase I	enoyl-ACP reductase I
CPLX-8543			fatty acid oxidation complex	
CPLX-5642			pantoate:&beta;-alanine ligase	pantothenate synthetase
CPLX-9390			ansamycin polyketide synthase monomer	
CPLX-7287				
ASPKINIII-CPLX			aspartate kinase III	aspartokinase III, lysine-sensitive aspartokinase 3
CPLX0-3501			7-cyano-7-deazaguanine reductase	
CPLX-7704			chloromuconate cycloisomerase	
CPLX1G01-155				
CPLX-8079			perchlorate reductase	
CPLX-2161			diaminobutyrate-2-oxoglutarate transaminase	
CPLX8J2-102			cytochrome <i>bd</i> menaquinol oxidase	
CPLX-8528			nitric oxide reductase (cytochrome <em>c</em>)	cNOR, cytochrome <i>c</i>-dependent nitric oxide reductase
CPLX-5501			fructokinase II	ATP:fructose-6-phosphotransferase, fructokinase
CPLX-8961			Nys PKS complex monomer	
CPLX-9374			spectinabilin polyketide synthase complex	
CPLX-7264				
AROC-CPLX				
CPLX0-3107			ClpXP	
CPLX-7683			peroxisomal multifunctional enzyme type 2	D-bifunctional protein, perMFE2, MFE2, MFE-2, DBP, D-3-hydroxyacyl-CoA dehydratase/D-3-hydroxyacyl-CoA dehydrogenase bifunctional protein, perMFE-2, 17&beta;-hydroxysteroid dehydrogenase  type 4, 17&beta;-HSD  type 4
CPLX185E-39			Succinyl-CoA ligase [ADP-forming]	
CPLX-8061			mycofactocin-dependent alcohol dehydrogenase	nicotinoprotein alcohol dehydrogenase, np-ADH, NDMA-dependent alcohol dehydrogenase
CPLX-2022			pyruvate dehydrogenase complex	
CPLX66-567			NADH dehydrogenase (ubiquinone) 1 flavoprotein	
CPLX-8507				
CPLX-5322			glycerol-3-phosphate cytidylyltransferase	
XYLISOM-CPLX				
CPLX-8943			polyunsaturated fatty acid synthase	
CPLX-9358			aureothin polyketide synthase complex	
CPLX-7245			2-hydroxymuconate semialdehyde dehydrogenase	
ALLANTOICASE-TRIMER			allantoicase trimer	
CPLX0-2881			Lon protease	
CPLX-7664			methanesulfonate monooxygenase hydroxylase component	
CPLX0-8561			methionine transaminase	
CPLX-8039			DdcY D-alanyl-D-alanine carboxypeptidase	
CPLX-1963				
CPLX66-547			sucrase-isomaltase	
CPLX-8484			long-chain-acyl-CoA dehydrogenase	LCAD, mitochondrial long-chain-acyl-CoA dehydrogenase
CPLX-521			[FeMo]-nitrogenase complex nitrogenase reductase component	[FeMo]-nitrogenase complex  component II, [FeMo]-nitrogenase complex Fe protein
TRANSENOYLCOARED-CPLX				
CPLX-8922			glutathione hydrolase	
CPLX-9341			OMT2-6OMT heterodimer	
CPLX-7228				
ACSERLYA-CPLX			cysteine synthase A	
CPLX0-2401			tryptophan synthase, &beta; subunit dimer	TSase &beta;2, B protein, &beta;<sub>2</sub> protein
CPLX-7648			3-hydroxyacyl-[acp] dehydrase	3-hydroxyacyl-[acyl carrier protein] dehydratase, &beta;-hydroxyacyl-[acyl carrier protein] dehydrase, &beta;-hydroxyacyl-[acyl carrier protein] dehydratase
CPLX0-8537			galactarate dehydratase	
CPLX-8017			VanX D-alanyl-D-alanine dipeptidase	
CPLX-1901			dihydrofolate reductase	
CPLX66-501			pantothenate kinase 3	type II pantothenate kinase
CPLX-8468			&beta;-methylmalyl-CoA dehydratase	
CPLX-5041			&gamma;-butyrobetaine dioxygenase	&gamma;-butyrobetaine hydroxylase
THIOREDOXIN-REDUCT-NADPH-CPLX				
CPLX-8899			acetohydroxyacid synthase	AHAS
CPLX-9317			<em>O</em>-phosphoserine sulfhydrylase	
CPLX-7205				
ABC-63-CPLX				
CPLX0-2081			dihydroxyacetone kinase	DHAK, DHA kinase
CPLX-7626			nitrilotriacetate monooxygenase component B	
CPLX0-8271				
CPLX-8001			&beta;-ureidopropionase hexamer	
CPLX-1762			glycerol-3-phosphate 2-<em>O</em>-acyltransferase GPAT2	
CPLX66-456				
CPLX-8446			hydroquinone 1,2-dioxygenase	
CPLX-481				
SECD-SECF-YAJC-YIDC-CPLX			Sec translocon accessory complex	
CPLX-8878				
CPLX-9301			4-hydroxy-2-ketopimelate aldolase dimer	
CPLX-7184			assimilatory nitrite reductase	NAD(P)H-nitrite reductase, nitrite reductase [NAD(P)H]
ABC-32-CPLX			thiamine ABC transporter	
CPLX0-1541			5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase	
CPLX-7608			mycofactocin-dependent alcohol dehydrogenase	
CPLX0-8232			carnitine monooxygenase	
CPLX-7981			quinate/shikimate dehydrogenase	
CPLX-170-H57			galactosamine PTS permease	
CPLX66-414			&gamma;-glutamyl transferase 5	&gamma;-glutamyl leukotrienase, leukotriene-C<small><sub>4</sub></small> hydrolase, glutathione &gamma;-glutamyl hydrolase/transpeptidase 5
CPLX-8423			glycogen phosphorylase <I>b</i>	
CPLX-4645				
PYRUVOXID-CPLX			pyruvate oxidase	pyruvate:ubiquinone oxidoreductase, pyruvate dehydrogenase (quinone)
CPLX-8862			dihydromethanopterin reductase [NAD(P)+]	
CPLX-9285			1,3-keto-enol tautomerase	
CPLX-7164				
ABC-12-CPLX			L-glutamine ABC transporter	
CPLX0-1101			tRNA-guanine transglycosylase	
CPLX-7591			solanesyl diphosphate synthase	
CPLX0-8200			cyclic di-GMP phosphodiesterase PdeF	
CPLX-7957			alcohol dehydrogenase (quinone)	
CPLX-161			butyrate--acetoacetate CoA-transferase	
CPLX66-372			alanine aminotransferase 1	
CPLX-8404			<i>N</i>-methyl glutamate dehydrogenase	
CPLX-4442				
PKI-COMPLEX			pyruvate kinase I	type I pyruvate kinase, pyruvate kinase type F
CPLX-8845			gentisate 1,2-dioxygenase II	
CPLX-9269			fatty acid oxidation complex, &beta; component	
CPLX-7146			sulfur oxygenase reductase hexamer	
CPLX-9659			glycine reductase component B	
CPLX-7573				
CPLX0-8160				complex II, succinate-ubiquinone oxidoreductase, SQR, SdhCDAB, succinate dehydrogenase, succinate-Q reductase
CPLX-7940			NADPH thioredoxin reductase	thioredoxin reductase 1, cytoplasmic, thioredoxin reductase TR1, NADPH-dependent thioredoxin reductase
CPLX-154			&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	EII<sup>bgl</sup>, Enzyme II<sup>bgl</sup>
CPLX66-350			serine racemase	
CPLX-8389			dTDP-3-amino-3,4,6-trideoxy-&alpha;-D-glucopyranose <i>N,N</i>-dimethyltransferase	
CPLX-4303			4-hydroxy-tetrahydrodipicolinate synthase	
PHENDEHYD-CPLX				
CPLX-883				
CPLX-9254				
CPLX-9643			THF:GDP-perosamine <i>N</i>-formyltransferase	LPS biosynthesis <i>N</i>--formyltransferase
CPLX-7555				
CPLX0-8110			molybdenum cofactor insertion chaperone PaoD	
CPLX-7920			2-amino-4-oxopentanoate thiolase	AKP thiolase
CPLX-143			fructose-1,6-bisphosphatase class 1	fructose-1,6-bisphosphatase F-II
CPLX66-334				
CPLX-8371			3-ketosteroid 9&alpha;-monooxygenase	
CPLX-4142				
ORNCARBAMTRANSFERI-CPLX			ornithine carbamoyltransferase	OTCase-1
CPLX-8812				
CPLX-924			benzoate-CoA ligase (anaerobic)	E1 benzoate-CoA ligase
CPLX-7102			dimethylamine--[corrinoid protein] Co-methyltransferase	dimethylamine:corrinoid methyltransferase
CPLX-9625			<i>Escherichia coli</i> O:2 antigen polymerase	
CPLX-7538				
CPLX0-8013				
CPLX-7902			mitochondrial aspartate aminotransferase	glutamate oxaloacetate transaminase 2, fatty acid-binding protein, mitochondrial aspartate transaminase
CPLX-1361				
CPLX66-304			serine palmitoyltransferase IIA	
CPLX-8349		P25984	secondary alcohol dehydrogenase	SADH, primary-secondary alcohol dehydrogenase
CPLX-3961				
NAG1P-URIDYLTRANS-CPLX			fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	
CPLX-8797			demethylmacrocin O-methyltransferase	
CPLX-9224			octaheme dissimilatory sulfite reductase	
CPLX-7084			UDP-glucose 4-epimerase	
CPLX-961				
CPLX-7521				
CPLX0-7975			DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	
CPLX-7882			selenocysteine synthase	SepSecS, UGA suppressor tRNA-associated protein, tRNA(Ser/Sec)-associated antigenic protein, liver-pancreas antigen, soluble liver antigen, SLA, SLA/LP, SLA/LP autoantigen, SLA-p35, SecS
CPLX66-269			pyruvate dehydrogenase E1 component (somatic)	
CPLX-8328				
CPLX-3842				glucose-1-dehydrogenase
MONOMER-19140		Q9AH07	2,4-dinitrocyclohexan-1-one hydrolase	
CPLX-8780			6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase	
CPLX-9208			acyl-CoA:acyl-CoA alkyltransferase	
CPLX-7068				HNF-1-alpha dimerization cofactor
CPLX-9594			<i>Salmonella enterica</i> O:39 antigen polymerase	
CPLX-7494			sepiapterin reductase	
CPLX0-7944			outer membrane phospholipase A	detergent resistant (DR) phospholipase A
CPLX-7858			sulfotransferase 1A1	SULT1A1, aryl sulfotransferase 1, phenol sulfotransferase 1, phenol-sulfating phenol sulfotransferase 1, thermostable phenol sulfotransferase, TS PST1, P-PST
CPLX66-210			triosephosphate isomerase	
CPLX-8300			&alpha;-neoagaro-oligosaccharide hydrolase	
CPLX-3663				
MONOMER-15315			20-O-&beta;-D-(1&rarr;6)-glucose-hydrolyzing ginsenosidase	
CPLX-8763			3-isopropylmalate dehydrogenase	
CPLX-6934			C1-THF synthase	
CPLX-9185			pentachlorophenol hydroxylase	
CPLX-7050			branched-chain &alpha;-keto acid dehydrogenase complex	
CPLX-9577			GDP-mannose 4,6-dehydratase	
CPLX-7478				
CPLX0-7906				
CPLX-7837			mitochondrial 3-ketoacyl-CoA thiolase	
CPLX5F9-48			ethylbenzene dioxygenase	
CPLX-8282			cellulosome complex (or2p anchor, 18 most abundant catalytic units in cellobiose-grown cells)	
CPLX-3503			serine-glyoxylate aminotransferase	SGA
MALDEXPHOSPHORYL-CPLX				
CPLX-8745			D-nopaline dehydrogenase	nopaline dehydrogenase
CPLX-6917				
CPLX-9164			UDP-4-amino-4,6-dideoxy-N-acetyl-&beta;-L-altrosamine transaminase	
CPLX-7034				3-deoxy-D-<i>manno</i>-octulosonate-8-phosphate synthase, 3-deoxy-D-mannooctulosonate-8-phosphate synthetase, 3-deoxyoctulosonic 8-phosphate synthetase, KDOP synthase, 2-dehydro-3-deoxy-D-octonate-8-phosphate D-arabinose-5-phosphate-lyase (pyruvate-phosphorylating), phospho-2-keto-3-deoxyoctonate aldolase
CPLX-9560			methylthio-alkane reductase catalytic component	
CPLX-7463				
CPLX0-7841			sulfite reductase, flavoprotein subunit complex	
CPLX-7820				
CPLX4LZ-150			PS II core dimer	
CPLX-8257			<i>S</i>-methyl-5'-thioinosine phosphorylase	
CPLX-3422				malonate semialdehyde dehydrogenase
IMP-DEHYDROG-CPLX				
CPLX-8723				
CPLX-6901				
CPLX-9147			teichoic acid ABC transporter	
CPLX-702			H(2):CoB-CoM heterodisulfide,ferredoxin reductase &beta; component	
CPLX-9544			butanoyl-CoA dehydrogenase complex (NAD<small><sup>+</sup></small>, ferredoxin)	
CPLX-7448				aliphatic epoxide carboxylation complex component IV
CPLX0-7791			RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor	RelBE
CPLX-7805			chloromuconate cycloisomerase 2	
CPLX490-3567			pyruvate dehydrogenase complex E3 component	
CPLX-8237			7-cyano-7-deazaguanine tRNA-ribosyltransferase	
CPLX-3301				&beta;-alanine-oxoglutarate aminotransferase, 4-aminobutyrate aminotransferase
GTP-CYCLOHYDRO-II-CPLX			GTP cyclohydrolase 2	
CPLX-8705				
CPLX-6885				
CPLX-9128			N-terminal methionine <i>N</i><sup>&alpha;</sup>-acetyltransferase NatC	
CPLX-7000			acetate-CoA ligase (ADP-forming)	acetyl-CoA synthetase (ADP-forming), ADP-dependent acetyl coenzyme A synthetase
CPLX-9528			acryloyl-CoA reductase	
CPLX-7433			chlorophyllide <i>a</i> reductase	
CPLX0-7726			23S rRNA m<sup>5</sup>C1962 methyltransferase	ribosomal RNA large subunit methyltransferase I
CPLX-7783			phosphoenolpyruvate guanylyltransferase	
CPLX490-3523			ferredoxin-plastoquinone oxidoreductase NDH-1L	photosynthetic complex IL, NDH-1L, NDH-1<sub>1</sub>
CPLX-8217			<i>aa<sub>3</sub></i>-type cytochrome <i>c</i> oxidase	<i>aa<sub>3</sub></i> type cytochrome oxidase
CPLX-3246				MADH
GLYC3PDEHYDROGBIOSYN-CPLX			glycerol-3-phosphate dehydrogenase, biosynthetic	
CPLX-8683				
CPLX-6781			tetrahydropiperidine-2-carboxylate reductase 1	pyrroline-5-carboxylate reductase 1
CPLX-9108			MTBE monooxygenase	methyl <i>tert</i>-butyl ether monooxygenase
CPLX-6981				
CPLX-9510			L-arabinose 1-dehydrogenase (NADP+)	
CPLX-7415			&alpha;-ketoglutarate semialdehyde dehydrogenase	
CPLX0-7688			succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD	
CPLX490-3495			phycocyanin &alpha;-subunit phycocyanobilin lyase	PCB:&alpha;-CPC lyase, PCB:&alpha;84-CPC lyase
CPLX-8202			4-benzoquinone reductase	
CPLX-32			canaline carbamoyltransferase	
GLUC1PADENYLTRANS-CPLX				
CPLX-666			&beta; complex	
CPLX-9092			propane 2-monooxygenase catalytic component	
CPLX-6962			pinosylvin synthase	
CPLX-9492			NAD kinase 2	
CPLX-7399				
CPLX-1323				SAT
CPLX0-7649			L-rhamnose mutarotase	
CPLX3O-5				
CPLX-8180			5-methyl-phenazine-1-carboxylate <i>N</i>-methyltransferase	
CPLX-301			&alpha; complex	
FRUCBISALD-CLASSI			fructose-bisphosphate aldolase class I	
CPLX-864			NADP malic enzyme	
CPLX-6521				
CPLX-9074			light-independent protochlorophyllide reductase	DPOR
CPLX-9479			hydroxymethylglutaryl-CoA reductase	
CPLX-7375				
CPLX-1246				
CPLX0-7622			L-serine deaminase III	
CPLX3O-10933			glycerol uptake/efflux facilitator protein FPS1	
CPLX-8164			baicalein 7-<i>O</i>-glucuronosyltransferase	
CPLX-2841			catechol 2,3-dioxygenase	
F-O-CPLX			ATP synthase F<sub>o</sub> complex	
CPLX-8621			deoxyadenosine/deoxycytidine kinase	
CPLX-6401				
CPLX-9057			3&alpha;-hydroxysteroyl-CoA 3-dehydrogenase	
CPLX-9460			1-naphthol 2-hydroxylase	
CPLX-7358				
CPLX-1125			urease	
CPLX0-7529			polysaccharide export complex	
CPLX-7772			dimethylsulfoniopropionate demethylase	
CPLX3O-10517			class Ia ribonucleoside-diphosphate reductase	
CPLX-8147				
CPLX-2721			protocatechuate 3,4-dioxygenase	P3,4O, 3,4-PCD
DTDPGLUCDEHYDRAT-CPLX			dTDP-glucose 4,6-dehydratase 1	
CPLX-8606			cobalt-precorrin-6B (<i>C</i><sup>15</sup>)-methyltransferase [decarboxylating]	
CPLX-6225				
CPLX-9034			multienzyme long-chain fatty acid reductase complex	
CPLX-9444			cyclic 2,3-diphosphoglycerate synthase	
CPLX-7341				
CPLX-1042				
CPLX0-682				
CPLX-7755				
CPLX1ZJJ-566			2-oxoglutarate dehydrogenase	
CPLX-8130			&beta; hexosaminidase S	
CPLX-261			adenylylsulfate reductase, &alpha; complex	
DEOA-CPLX				
CPLX-8582			magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1	
CPLX-6044				
CPLX-9012			4-methylphenol methylhydroxylase	<i>p</i>-cresol methylhydroxylase
CPLX-9427			pyoverdin I decarboxylase	
CPLX-7325			fructokinase I	
CHORISMUTPREPHENDEHYDRAT-CPLX			fused chorismate mutase/prephenate dehydratase	chorismate mutase-prephenate hydrolyase(decarboxylating), P-protein
CPLX0-3943				
CPLX-9424			8-oxocitronellyl enol cyclase (cis-cis neptalactol forming)	nepetalactol-related short-chain reductase 3
CPLX-7322			cytosolic malate dehydrogenase	
CARBPSYN-CPLX				
CPLX0-3934			GroEL-GroES chaperonin complex	GroE
CPLX-7736				
CPLX1YI0-102			NdhD2/NdhF1 complex	
CPLX-8109			nucleoside-diphosphate kinase	
CPLX-24			D1/D2 reaction center complex	
CPLXQT-5			adenylosuccinate synthase	
CPLX-8557			valine dehydrogenase (NAD+)	
CPLX-581				
CPLX-8990			maleate isomerase	
CPLX-9403			glycine amidinotransferase	
CPLX-7304			(-)-secoisolariciresinol dehydrogenase	
ATOD-CPLX			&alpha; complex	
CPLX0-3761			&beta; sliding clamp	
CPLX-7718			ferredoxin-thioredoxin reductase	
CPLX1P3V-871			Sec <i>holo</i> translocon	
CPLX-8093			caffeine dehydrogenase	
CPLX-2242				agmatine deiminase
CPLX8J2-43			cytochrome <i>aa</i><sub>3</sub>-600 menaquinol oxidase	
CPLX-8540			vanillyl-alcohol oxidase	4-allylphenol oxidase, aryl-alcohol oxidase
CPLX-563				
CPLX-8974			alginate periplasmic scaffold	
CPLX-9387			naphthomycin polyketide synthase BCDE complex monomer	
CPLX-7283			benzene 1,2-dioxygenase	
ASPCARBTRANS-CPLX				
CPLX0-341			fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	
CPLX-7701			1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	
CPLX1F-78				magnesium chelatase
CPLX-8076			7&alpha;-hydroxysteroid dehydrogenase	
CPLX-2121				
CPLX66-81			mitochondrial aldehyde dehydrogenase	aldehyde dehydrogenase, mitochondrial, ALDH class 2, ALDHI, ALDH-E2, aldehyde dehydrogenase class 2, ALDH-2
CPLX-8522			benzoquinone reductase	
CPLX-545				
CPLX-8958			dihydro-2-naphthoyl-CoA reductase	
CPLX-9371			sulfotransferase 2A1	bile salt sulfotransferase, dehydroepiandrosterone sulfotransferase
CPLX-7261				
CPLX0-3101			ClpP serine protease	
CPLX-7677			biotin-independent malonate decarboxylase	
CPLX12WB-77			energy-coupling factor transporter core complex	ECF core complex
CPLX-8057				
CPLX-2003			sulfopyruvate decarboxylase	ComDE
CPLX66-563			ATP synthase Fo complex c subunit	
CPLX-8498			<i>ent</i>-kaurenoate 13-hydroxylase	CYP716D4, <i>ent</i>-kaurenoic acid 13-hydroxylase
CPLX-5283			L-glycol dehydrogenase	
URPHOS-CPLX				
CPLX-8940				
CPLX-9355			aureothin polyketide synthase monomer	
CPLX-7240			2-oxopent-4-enoate hydratase	
ALAS-CPLX			alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	
CPLX0-255				
CPLX-7661			malonate decarboxylase	
CPLX0-8556			diguanylate cyclase DgcC	
CPLX-8036			vanadium-dependent bromoperoxidase	
CPLX-1942				
CPLX66-541			superoxide dismutase [Mn]	
CPLX-8481			cyanophycin synthase	
CPLX-5203				propionyl-coenzyme A carboxylase
TRANS-CPLX-203				YiaMNO binding protein-dependent secondary (TRAP) transporter
CPLX-8917			cyclo-acetoacetyl-L-tryptophan dimethylallyltransferase	
CPLX-9331			(<i>R</i>)-2-hydroxyisocaproyl-CoA dehydratase archerase	
CPLX-7223			Cbbl dimer	
ACETYLORNTRANSAM-CPLX			<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	
CPLX0-237			serine acetyltransferase	
CPLX-7645			3-ketoacyl-[acp] synthase 2, chloroplastic	
CPLX0-8311				
CPLX-8014			VanB D-alanine--D-lactate ligase	
CPLX-1870				
CPLX66-498			phosphopantothenoylcysteine decarboxylase	
CPLX-8465			methylmalonyl-CoA mutase	
CPLX-5021			3'-hydroxy-<i>N</i>-methylcoclaurine 4'-<i>O</i>-methyltransferase	
SUPEROX-DISMUTMN-CPLX			superoxide dismutase (Mn)	
CPLX-8895			dimethylallyl-diphosphate:paspalinine dimethylallyltransferase, AtmD	
CPLX-9314			L-serine kinase (ATP)	
CPLX-7201				
ABC-58-CPLX				LsrACDB
CPLX0-1962			3-hydroxy acid dehydrogenase YdfG	
CPLX-7621				
CPLX-7998			dipeptidyl-aminopeptidase 1 complex	cathepsin C, cathepsin J, dipeptidyl transferase, dipeptidyl-peptidase I, DPAP-1, DPP-I, DPPI
CPLX-17408				
CPLX66-450			carnitine O-palmitoyltransferase 1, liver isoform	
CPLX-8443			methylxanthine <i>N</i>1-demethylase	
CPLX-4781				
SAICARSYN-CPLX				
CPLX-8875			2-oxoglutaramate amidase	
CPLX-9298			A-type ATP synthase	
CPLX-7181				
ABC-28-CPLX			ribose ABC transporter	
CPLX0-1342			sulfur acceptor for SufS cysteine desulfurase	
CPLX-7605			carboxynorspermidine decarboxylase	CANSDC
CPLX0-8229			antitoxin/DNA-binding transcriptional repressor HigA	HigA, HigA antitoxin of the HigB-HigA toxin-antitoxin system and DNA-binding transcriptional repressor
CPLX-7978				
CPLX-168			trehalose-specific PTS enzyme II	EII<sup>Tre</sup>, Enzyme II <sup>Tre</sup>
CPLX66-395			trimethyllysine dioxygenase	
CPLX-8420			MegBII aldo-keo reductase	
CPLX-4642				
CPLX-8859			phenylpropanoid/flavonoid <i>O</i>-methyltransferase	
CPLX-9282			aspartate kinase	
CPLX-7161				
7KAPSYN-CPLX				
CPLX0-0			primosomal protein DnaT	primosomal protein i
CPLX-7588				
CPLX0-8190				
CPLX-7954			diacetyl (acetoin) reductase	
CPLX-1582				
CPLX66-364			bifunctional purine biosynthesis protein PURH	
CPLX-8401			5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase	
CPLX-443			acetyl-CoA decarbonylase/synthase complex &alpha;<sub>2</sub>&epsilon;<sub>2</sub> component	acetyl-CoA decarbonylase/synthase complex Ni/Fe-S component, acetyl-CoA decarbonylase/synthase complex Ni/Fe-S enzyme component, acetyl-CoA decarbonylase/synthase complex nickel/iron-sulfur component
CPLX-8842			succinyl-CoA synthetase	
CPLX-9266			C50 carotenoid &gamma;-cyclase	
CPLX-7143			persulfide dioxygenase	
CPLX-9656			formate dehydrogenase (cytochrome-c-553)	
CPLX-7570				
CPLX0-8157			osmotically inducible peroxiredoxin OsmC	
CPLX-7937			guanine deaminase	
CPLX-1526			nitrilase 3	nitrilase III
CPLX66-347				
CPLX-8386			dTDP-glucose 4,6-dehydratase	DesIV
CPLX-4281				
PEPCARBOX-CPLX				
CPLX-8827			epicatechin:1-<i>O</i>-galloyl-&beta;-<i>D-</i>glucose <i>O</i>-galloyltransferase	
CPLX-9251			endo-&alpha;-sialidase	endoNE, tail spike protein, endo-<i>N</i>-acetylneuraminidase
CPLX-7119			kynurenine/alpha-aminoadipate aminotransferase	&alpha;-aminoadipate aminotransferase
CPLX-9640			ferredoxin-plastoquinone oxidoreductase/CO<sub>2</sub> hydrase NDH-1MS'	NDH1-MS', NDH-1<sub>4</sub>
CPLX-7552			propionyl-CoA synthase	
CPLX0-8098				
CPLX-7917			HMG aldolase	
CPLX-1425			phosphoinositide phospholipase C 1	PLC, AtPLC1
CPLX66-331			serine--pyruvate aminotransferase	alanine--glyoxylate aminotransferase
CPLX-8368			3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-hydroxylase complex	
CPLX-4121				
NUCLEOSIDE-DIP-KIN-CPLX			nucleoside diphosphate kinase	
CPLX-881			SoxYZ	thiosulfate binding complex
CPLX-9237			prolyl 3-hydroxylase 1 complex	
CPLX-710			farnesyl diphosphate synthase	
CPLX-9622			polymannosyl GlcNAc-diphospho-<em>di</em><em>trans</em>,<em>octacis</em>-undecaprenol kinase/methyltranferase	
CPLX-7535				
CPLX0-8010				
CPLX-7898			NAD(P)+-dependent succinate semialdehyde dehydrogenase	
CPLX-1344			cystathionine &gamma;-synthase	CGS
CPLX66-300			fructose-bisphosphate aldolase C	
CPLX-8344			alcohol dehydrogenase II	AdhB, ZADH-2, zmADH2, ADHII
CPLX-3941				
N-ACETYLTRANSFER-CPLX			N-acetylglutamate synthase	NAGS, acetyl-CoA:L-glutamate N-acetyltransferase, amino-acid-N-acetyltransferase
CPLX-8794			dTDP-3-amino-3,6-dideoxy-&alpha;-<small>D</small>-glucopyranose transaminase	
CPLX-9221			5-hydroxydodecatetraenal 1-aminotransferase	
CPLX-7080			&alpha;-ketoglutaric semialdehyde dehydrogenase (4-hydroxy-L-proline-induced isozyme)	
CPLX-9607			<i>Escherichia coli</i> O:128 antigen polymerase	
CPLX-7518			S-allantoin synthase	hydroxyisourate hydrolase / OHCU decarboxylase
CPLX0-7963			multidrug efflux pump EmrE / betaine:H<sup>+</sup> antiporter / choline:H<sup>+</sup> antiporter	
CPLX-7879			<i>O</i>-phosphoseryl-tRNA:selenocysteinyl-tRNA synthase dimer	
CPLX66-228			y+LAT-2/4F2hc complex	
CPLX-8313			phosphonopyruvate hydrolase	
CPLX-3824				
MONOMER-17351			6-oxocamphor hydrolase	
CPLX-8777			cyclohexane-1-carbonyl-CoA dehydrogenase	
CPLX-9205			formate dehydrogenase 1	
CPLX-7065			delta-3, delta2-enoyl-CoA isomerase	
CPLX-9591			<i>Escherichia coli</i> O:55 antigen polymerase	
CPLX-7491			6-pyruvoyl tetrahydrobiopterin synthase trimer	
CPLX-7853			<i>E</i>-farnesyl diphosphate synthase	
CPLX66-182			3-&beta;-hydroxysteroid-&Delta;<sup>8</sup>-&Delta;<sup>7</sup>-isomerase	cholestenol Delta-isomerase, sterol 8-isomerase, Delta(8)-Delta(7) sterol isomerase, Emopamil-binding protein
CPLX-8297			dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase	
CPLX-362				
MONOMER-12114			D-hydroxyproline dehydrogenase	LhpB
CPLX-8760				
CPLX-6931			trihydroxystilbene synthase I	
CPLX-9181			L-amino-acid oxidase	
CPLX-7046			2-acylphloroglucinol synthase	
CPLX-9574			O9a antigen ABC transporter	
CPLX-7475			4-hydroxy-2-keto-5-methyl-6-oxo-3-hexenoate isomerase/hydrolase	
CPLX0-7888			glutamate&mdash;pyruvate aminotransferase AlaA	
CPLX-7834			mitochondrial acetyl-CoA acetyltransferase	
CPLX5F9-3249			phthalate 3,4-dioxygenase terminal component	
CPLX-8279			[FeV]-nitrogenase complex	vanadium nitrogenase, V-containing nitrogenase, V-dependent nitrogenase complex, nitrogenase (vanadium)
CPLX-3486				
LYSU-CPLX				
CPLX-8742			aklanonic acid methyl ester cyclase	
CPLX-6914			5-aminolevulinate synthase 1	5-aminolevulinic acid synthase, ALA synthase, ALAS
CPLX-9161			2-(<i>n</i>'-methylthio)alkylmalate dehydratase	2-(<i>n</i>'-methylthio)alkylmalate isomerase, isopropylmalate isomerase
CPLX-7031				pyruvate synthase
CPLX-9557			caffeoyl-CoA reductase-Etf complex electron-transfer flavoprotein component	
CPLX-7460			pyruvate dehydrogenase component	
CPLX0-7826			dITP/XTP pyrophosphatase	
CPLX-7818			pyruvoyl-dependent histidine decarboxylase	
CPLX4LZ-141			CP43-less PS II core monomer	
CPLX-8252			pyrrole-2-carboxylate monooxygenase	
CPLX-341				
HYDROPEROXIDI-CPLX			catalase/hydroperoxidase HPI	catalase HPI, HPI
CPLX-8719			ginsenosidase type III	
CPLX-6898				
CPLX-9144			glycerol-3-phosphate cytidylyltransferase	
CPLX-7017			NAD kinase 1	
CPLX-9541			electron transfer flavoprotein EtfAB	electron-transferring flavoprotein, ETF, electron transfer flavoprotein
CPLX-7445				
CPLX0-7776			fructose 1,6-bisphosphatase YggF	
CPLX-7801				
CPLX490-3563			ClpC-ClpS complex	
CPLX-8234			<i>N</i>-acetylhexosamine 1-dehydrogenase	
CPLX-329			corrinoid adenosyltransferase CobO	
GSAAMINOTRANS-CPLX				
CPLX-8697				
CPLX-6882				
CPLX-9125			gallate decarboxylase	
CPLX-6998				
CPLX-9525			3-oxoacyl-[acyl carrier protein] synthase III	&beta;-ketoacyl-ACP synthase-III
CPLX-743				
CPLX0-7722				
